363,363,98,204.49,494.76,454.94,363,562.19,363,363
215,41.667,93.153,264.34,262.89,249.5,278.47,242.49,288.4,215
336.82,265.5,377.22,354.88,245.91,234.63,218.81,216.3,259.44,481.6
325.69,228.6,918.86,186.94,262.5,375.41,263.22,232.73,537.6,370
356.48,345.74,304.12,325.24,275.29,403.23,260.96,388.1,365.32,336
315.55,219.37,251.97,187.23,372.9,270.38,228.85,488.81,370.85,301
333,212.72,580.71,174.22,544.39,342.19,272.1,273.55,261.61,333
533,533,416.5,533,344.45,443.63,356.15,1104.9,533,533
263,263,263,263,263,263,263,263,303.33,223.44
687,687,687,687,687,687,687,687,687,686.6
