370,205,60,350,199,350,399,450,950,370
682,150,800,1595,1500,350,345,500,215,682
350,1450,295,1150,1150,1495,950,2000,350,280
695,590,8000,2500,1200,4000,1500,1200,800,2276
1100,520,700,1500,3500,1750,3200,10000,2000,2697
1850,4000,1100,1000,3050,7500,9996,9999,10000,5388
3574,895,800,1200,7000,5000,10000,2500,1200,3574
3517,3517,105,699,2100,2200,6000,9999,3517,3517
128,128,128,128,128,128,128,128,55,200
201,201,201,201,201,201,201,201,201,201
